930	625	317
669	866	147
642	487	372
94	619	295
734	243	141
918	4	447
805	630	802
938	552	388
803	747	525
917	832	631
899	292	843
81	206	445
779	579	264
358	18	257
978	77	270
984	88	131
183	756	160
806	142	646
53	272	368
942	821	785
219	52	199
473	479	351
860	522	361
890	240	216
94	756	407
234	909	178
889	667	756
825	405	30
943	806	253
98	455	365
998	454	290
971	576	223
64	429	273
945	779	63
672	948	577
782	43	567
825	604	183
694	632	334
569	619	317
337	49	17
878	468	660
550	827	159
540	362	346
66	713	380
491	477	44
411	114	320
554	96	250
306	67	196
769	553	333
762	436	382
278	322	153
894	603	334
94	221	804
557	626	486
968	922	285
518	36	468
56
